par_id,probability,true_label,pred_label,text_snippet
5552,0.003183644,1,0,The Minister said a society 's measure of its humanity is how it treats its weakest and most vulnerable members .
2591,0.0031850198,1,0,"One petition signer , the Reverend Everett Shattuck , 59 , a Church of the Brethren minister from Mill Creek , Indiana , said opening his home to refugees was part of the U.S. tradition of welcoming immigrants ."
7040,0.0031850245,1,0,"Michael Gove 's recent suggestion that inadequate financial management skills among poor families are to blame for the increasing demand on food banks has , unsurprisingly , sparked an angry response . Critics feel the Conservative Party is"
5722,0.0031850608,1,0,"Calling for an immediate political solution to resolve the crisis in Syria , Erdogan said : "" Turkey 's incursion into northern Syria in early September had led to establishing peace , balance and stability in a region taken over by hopeles"
5612,0.0031853453,1,0,"He said the victims who are currently rendered homeless can now be relieved of troubles as the 5,000 iron sheets from Mwanza had arrived , with 1,200 already distributed to victims in Bukoba Municipality ."
2342,0.0031853546,1,0,"The measures have kept the migrants living in limbo . The overwhelming majority have not been granted asylum and they lead a tenuous existence , often at the whims of the government ."
3213,0.003185951,1,0,Hollywood star Leo Di Caprio urges help for reuniting immigrant children with their families
8330,0.0031860706,1,0,"Many refugees do n't want to be resettled anywhere , let alone in the US ."
10326,0.0031861372,1,0,A top health official said today that the government could consider subsidies to help poor families pay for healthy food -- or imposing taxes on unhealthy products -- if other efforts fail to encourage better eating habits among Hong Kong r
582,0.003186304,1,0,"It 's calculated that over 204,000 days of purpose-built residential accommodation to otherwise potentially homeless elderly men and women have been delivered by this personally driven altruistic act alone ."
